Season,Name,Team,ERA,K/9,WHIP,WAR
1999,Pedro Martinez,BOS,2.073599899,13.21919935,0.926399955,11.5789814
1972,Steve Carlton,PHI,1.974976054,8.05582338,0.993262811,11.10053349
1888,Silver King,STL,1.644279966,3.964712441,0.875924842,11.05860615
1889,John Clarkson,BSN,2.729032258,4.122580645,1.277419355,10.94684124
1886,Toad Ramsey,LOU,2.446206031,7.629105059,1.110985239,10.91813564
1887,John Clarkson,CHI,3.080305927,4.078393881,1.156787763,10.9138279
1887,Toad Ramsey,LOU,3.43315508,5.695187166,1.267379679,10.89645958
1973,Bert Blyleven,MIN,2.52,7.144615385,1.116923077,10.80436516
1908,Christy Mathewson,NYG,1.428327571,5.966723239,0.837030673,10.79373264
1883,Tim Keefe,NYM,2.413570275,5.248788368,0.943457189,10.75267315
1884,Pud Galvin,BUF,1.994237885,5.218962975,0.988475673,10.7447443
1892,William Hutchinson,CHI,2.763665595,4.54340836,1.223472669,10.71383858
1997,Roger Clemens,TOR,2.045454545,9.954545455,1.03030303,10.69859695
1884,Guy Hecker,LOU,1.798210681,5.166500837,0.867793214,10.43340969
1876,Jim Devlin,LOU,1.562700965,1.765273312,0.969453376,10.20766068
1890,William Hutchinson,CHI,2.701492537,4.313432836,1.167495854,10.19443703
1885,John Clarkson,CHI,1.849117175,4.449438202,0.953451043,10.14679909
1886,Matt Kilroy,BAL,3.36535163,7.919382504,1.12864494,9.999061584
1965,Sandy Koufax,LAD,2.037735726,10.24230325,0.855014844,9.984525681
1884,Charlie Buffinton,BSN,2.146507666,6.393526405,0.991482112,9.937081337
1970,Bob Gibson,STL,3.12244898,8.387755102,1.19047619,9.828108788
2001,Randy Johnson,ARI,2.55906588,13.20329643,1.030219759,9.710692406
1971,Fergie Jenkins,CHC,2.769230769,7.283076923,1.049230769,9.642920494
1946,Bob Feller,CLE,2.181328665,8.434470839,1.157989291,9.63418293
1910,Walter Johnson,WAS,1.362162162,7.613513514,0.913513514,9.609232903
2004,Randy Johnson,ARI,2.601085589,10.62415241,0.899592982,9.60608387
1915,Grover Alexander,PHI,1.219663485,5.76350784,0.842338398,9.595219612
2000,Randy Johnson,ARI,2.642091099,12.55898098,1.117962444,9.577022552
